,0,1,2,3,4,5,6,7,8,9
0,5.0,2.0,3.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0
1,2.0,4.0,7.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0
2,4.0,4.0,5.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0
3,4.0,1.0,6.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0
4,7.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0
5,1.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0
6,6.0,5.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
7,4.0,3.0,1.0,3.0,2.0,1.0,5.0,0.0,1.0,0.0
8,1.0,6.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0
9,3.0,1.0,8.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0
10,4.0,3.0,1.0,4.0,2.0,2.0,0.0,3.0,0.0,1.0
11,5.0,3.0,2.0,2.0,5.0,1.0,0.0,2.0,0.0,0.0
12,3.0,3.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,1.0
13,5.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0
14,4.0,3.0,3.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0
15,2.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0
16,2.0,7.0,1.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0
17,2.0,0.0,0.0,5.0,6.0,3.0,1.0,1.0,2.0,0.0
18,4.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0
19,3.0,5.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0
20,8.0,3.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0
21,3.0,5.0,2.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0
22,1.0,1.0,2.0,1.0,5.0,6.0,2.0,1.0,1.0,0.0
